Scene No,Character1,Narrative,Character2
13,HARRY,"Well done, Dudley. Finally
learned the days of the week, have
you.",DUDLEY
13,DUDLEY,"Today's your birthday. And nobody
cares.",HARRY
13,HARRY,"It's no good turning your beak up.
It's all we've got.",Hedwig
13,HARRY,Ron?,RON
13,RON,"Hiya, Harry.",HARRY
13,HARRY,"Fred? George? What're you doing
here?",RON
13,RON,"Rescuing you, of course. Where's
your trunk?",HARRY
13,RON,Stand back.,HARRY
17,HARRY,Hedwig!,Hedwig
17,UNCLE VERNON,Petunia! He's getting away!,AUNT PETUNIA
17,RON,"Hold on, Harry!",HARRY
17,UNCLE VERNON,"Oh no, boy! You and that bloody
pigeon aren't going anywhere!",HARRY
17,RON,"Put your foot down, Fred!",FRED
17,RON,"By the way, Harry. Happy
Birthday.",HARRY
18,FRED,"Hurry! Let's nip inside before
Mum wakes up!",HARRY
19,RON,It's not much.,HARRY
19,HARRY,I think it's... brilliant!,RON
19,MRS. WEASLEY,WHERE... HAVE... YOU... BEEN?!,RON
19,MRS. WEASLEY,Harry! How wonderful to see you.,HARRY
19,MRS. WEASLEY,"Beds empty! No note! You
could've died! You could've been
seen!",RON
19,MRS. WEASLEY,"I don't blame you, of course,
dear.",HARRY
19,RON,"They were starving him, Mum!
There were bars on his window!",MRS. WEASLEY
19,MRS. WEASLEY,"You best hope I don't put bars on
your window, Ronald Weasley!",RON
19,MRS. WEASLEY,"Care for a spot of tea, Harry?",HARRY
19,GINNY,Mummy. Have you seen my jumper --,MRS. WEASLEY
19,RON,"Ginny. Been talking about you all
summer. Dead annoying, really",HARRY
19,GEORGE,Dad's home!,MRS. WEASLEY
19,MR. WEASLEY,What a night! Nine raids! Nine!,MRS. WEASLEY
19,HARRY,Raids?,RON
19,RON,"Dad works at the Ministry of
Magic. In the Misuse of Muggle
Artefacts Office.",HARRY
19,HARRY,The Misuse of Muggle Artefacts...?,RON
19,RON,"That's when wizards bewitch
something to drive Muggles mad.
Shrinking door keys, that kind of
thing. Dad loves Muggles. Thinks
they're fascinating.",HARRY
19,MR. WEASLEY,Well now. Who are you?,HARRY
19,RON,"Harry, sir. Harry Potter.",MR. WEASLEY
19,MR. WEASLEY,"Good Lord, are you really? Ron's
told us all about you, of course.
When did you get here?",HARRY
19,MRS. WEASLEY,"This morning. Your sons flew that
enchanted car of yours to Surrey
house and back last night.",MR. WEASLEY
19,MR. WEASLEY,Did you now! How'd it go?!,MRS. WEASLEY
19,MR. WEASLEY,"I... I mean... That was very
wrong, boys. Very wrong indeed.
So, Harry. You must know all
about Muggles. Tell me, what
exactly is the function of a
parking meter?",RON
19,MRS. WEASLEY,"That must be Errol with the post.
Fetch him, will you, George?",GEORGE
19,GEORGE,"It's our Hogwarts letters! And
look. They've sent Harry's as well.",MRS. WEASLEY
19,MR. WEASLEY,"Dumbledore must know you're here,
Harry. Doesn't miss a trick, that
man.",HARRY
19,FRED,"This lot won't come cheap, Mum.
The spellbooks alone...",MRS. WEASLEY
19,MRS. WEASLEY,"We'll manage. Right then.
There's only one place to get all
of this.",FRED
19,RON,Diagon Alley!,MRS. WEASLEY
19,GEORGE,Diagon Alley!,MRS. WEASLEY
19,HARRY,Diagon Alley!,MRS. WEASLEY
19,FRED,Diagon Alley!,MRS. WEASLEY
24,MRS. WEASLEY,"You first, Harry dear.",HARRY
24,RON,"Harry's never traveled by Floo
Powder before, Mum.",MRS. WEASLEY
24,HARRY,Floo Powder?,RON
24,MRS. WEASLEY,"Percy. Would you mind going
first, so Harry can see how it's
done?",Percy Weasley
24,Percy Weasley,"Certainly, Mother. ",MRS. WEASLEY
24,Percy Weasley,"Don't worry,
Harry. It's simple enough.",HARRY
24,Percy Weasley,Diagon Alley.,MRS. WEASLEY
24,MRS. WEASLEY,"Remember to speak clearly, dear!",HARRY
24,RON,"And mind you get out at the right grate!
",HARRY
24,HARRY,D-Dia-gon Alley!,HARRY
26,MR. BORGIN,"Mr. Malfoy! What a pleasure to
see you again. If I may, just in
today --",LUCIUS MALFOY
26,LUCIUS MALFOY,"I'm not buying today, Mr. Borgin.
But selling.",MR. BORGIN
26,MR. BORGIN,Selling?,LUCIUS MALFOY
26,LUCIUS MALFOY,"You have heard, of course, that
the Ministry of Magic is
conducting more raids. There are
even rumors of a new Muggle
Protection Act...",MR. BORGIN
26,LUCIUS MALFOY,"I have a few... ah... items at
home that might prove embarrassing
if the Ministry were to call.
Certain poisons and the like...",MR. BORGIN
26,MR. BORGIN,Hmmm... yes. I see...,LUCIUS MALFOY
26,Draco Malfoy,Can I have this?,Draco Malfoy
26,MR. BORGIN,"Ah, the Hand of Glory. Insert a
candle and it gives light only to
the holder. Best friend of
thieves and plunderers. Your son
has fine taste, sir.",LUCIUS MALFOY
26,LUCIUS MALFOY,"Hopefully my son will amount to
more than a thief, Mr. Borgin.
Though if his marks don't pick
up --",MR. BORGIN
26,Draco Malfoy,"It's not my fault the teachers
have favorites. That Hermione
Granger --",LUCIUS MALFOY
26,LUCIUS MALFOY,"I would have thought you'd be
ashamed that a girl of no
wizarding family beat you in every
exam.",Draco Malfoy
26,MR. BORGIN,"It's the same all over. Wizard
blood is counting for less
everywhere.",LUCIUS MALFOY
26,LUCIUS MALFOY,Not with me.,MR. BORGIN
26,LUCIUS MALFOY,"Very good. I'll expect you at the
manor tomorrow. ",MR. BORGIN
26,LUCIUS MALFOY,"Come, Draco.",Draco Malfoy
27,AGED WITCH,"Not lost are you, my dear?",HARRY
27,HARRY,"I'm fine, thanks. I'm just --",AGED WITCH
27,HAGRID,"HARRY! What d'yer think yer doin'
down 'ere?",HARRY
27,HARRY,Hagrid!,HAGRID
28,HAGRID,"Yer a mess! Skulkin' 'round
Knockturn Alley. Dodgy place,
Harry. Don't want no one ter see
yeh down there. People'll be
thinkin' yer up ter no good.",HARRY
28,HARRY,"I was lost, I -- Hang on. What
were you doing down there?",HAGRID
28,HAGRID,"I was lookin' fer a Flesh Eatin'
Slug Repellent. They're ruinin'
the school cabbages.",HARRY
28,Hermione,Harry!,HARRY
28,Hermione,"Hello, Hagrid. Oh, it's wonderful
to see you two again.",HAGRID
28,Hermione,Oculus Reparo.,HARRY
28,HARRY,I need to remember that one.,Hermione
28,Hermione,C'mon. Everyone's been so worried.,HARRY
28,MR. WEASLEY,"So you're dentists! Fascinating!
I understand other Muggles quite
fear you? Why is that?",Hermione’s parents
28,MRS. WEASLEY,"Oh, Harry. Thank goodness. We
hoped you'd only gone one grate
too far. Come now. We're off to
Flourish and Blotts.",HARRY
28,Hermione,"Isn't it thrilling! Gilderoy
Lockhart's going to be there! We
can actually meet him! I mean,
he's written almost the whole
booklist!",HARRY
28,Hermione,"Isn't it thrilling! Gilderoy
Lockhart's going to be there! We
can actually meet him! I mean,
he's written almost the whole
booklist!",MRS. WEASLEY
28,HARRY,Who?,Hermione
30,MRS. WEASLEY,There he is!,MRS. WEASLEY
30,RON,Mum fancies him.,HARRY
30,SHORT MAN,"Out of the way! This is for The
Daily Prophet!",Everyone 
30,GILDEROY LOCKHART,It can't be Harry Potter?,HARRY
30,GILDEROY LOCKHART,"Nice big smile, Harry. Together,
you and I rate the front page.",HARRY
30,HARRY,Thank you.,GILDEROY LOCKHART
30,HARRY,"You have these. I'll buy my
own --",GINNY
30,Draco Malfoy,"Bet you loved that, didn't you,
Potter? Famous Harry Potter.
Can't even go into a bookshop
without making the front page.",HARRY
30,GINNY,"Leave him alone! He didn't want
all that!",Draco Malfoy
30,Draco Malfoy,"Look, Potter. You've got yourself
a girlfriend!",HARRY
30,LUCIUS MALFOY,"Silence, Draco! ",Draco Malfoy
30,LUCIUS MALFOY,Ah... Mr. Potter. I don't believe we've met.,HARRY
30,LUCIUS MALFOY,"Forgive me, Mr. Potter. But your
scar is legend. As, of course, is
the wizard who gave it to you.",HARRY
30,HARRY,He was a murderer.,LUCIUS MALFOY
30,LUCIUS MALFOY,"Yes, a pity about your parents.
Curious that you yourself should
escape with a mere flesh wound.
Curious, too, that you speak of
him in the past. Surely, you
don't think He-Who-Must-Not-Be-
Named is gone forever.",HARRY
30,HARRY,His name is Voldemort.,LUCIUS MALFOY
30,LUCIUS MALFOY,"You must be very brave, Mr.
Potter, to dare speak his name.
Or foolish.",HARRY
30,HERMIONE,"Fear of a name only increases fear
of the thing itself.",LUCIUS MALFOY
30,LUCIUS MALFOY,"You must be Miss Granger. Draco's
told me all about you... and your
parents. Muggles, aren't you?",Hermione
30,MR. WEASLEY,"Ron! Harry! It's mad in here.
Let's go outside.",HARRY
30,LUCIUS MALFOY,"Well, well, well -- Arthur
Weasley.",MR. WEASLEY
30,MR. WEASLEY,Lucius.,LUCIUS MALFOY
30,LUCIUS MALFOY,"Busy time at the Ministry. All
those raids. I hope they're
paying you overtime.",MR. WEASLEY
30,LUCIUS MALFOY,"Obviously not. Dear me. What's
the use of being a disgrace to the
name of wizard if they don't even
pay you well for it.",MR. WEASLEY
30,MR. WEASLEY,"We have a very different idea
about what disgraces the name of
wizard, Lucius",LUCIUS MALFOY
30,LUCIUS MALFOY,"Clearly. The company you keep,
Weasley. And I thought your
family could sink no lower.",MR. WEASLEY
30,HAGRID,"Ignore 'im, Arthur.",LUCIUS MALFOY
30,LUCIUS MALFOY,"Here, girl. Take your book. It's
the best your father can give you.",GINNY
30,HAGRID,"No Malfoy's worth listenin' ter.
Rotten ter the core, the whole
family...",MR. WEASLEY
31,MRS. WEASLEY,"Oh dear! The train'll be
 any moment! All together now!",Ginny
31,MrS. WEASLEY,"Go on, Ginny.
 You know what to
 do.",Ginny
32,MRS. WEASLEY,"Come, Ginny.
 seat.",Ginny
32,MRS. WEASLEY,We'll get you a,Ginny
32,RON,We better hurry.,Harry
32,GUARD,"What in blazes d'you two think
 you're doing?",Harry
32,HARRY,"Sorry. Lost control of the
 trolley.",guard
32,HaRRY,Why can't we get through?,Ron
32,Harry,"I dunno. The gateway's sealed
 itself for some reason.",Ron
32,Harry,"The train leaves at exactly eleven
 o'clock. We've missed it.",Ron
32,Ron,"Can't hear a thing.
 Harry. If we can't get through,
 maybe Mum and Dad can't get back.",Harry
32,Harry,"Maybe we should go wait by the
 car.",Ron
32,Ron,The car!,Harry
33,Harry,"This is mad.
 Hogwarts. We can't drive to",Ron
33,Ron,Who says we're driving?,Harry
33,Harry,"You don't mean -- Ron, no.",Ron
33,Ron,"Look, who knows when Mum and Dad
 will get back. And we've got to
 get to school, haven't we? And
 even underage wizards are allowed
 to use magic if it's an absolute
 emergency. Least that's what Fred
 
 and George always say...",Harry
33,Harry,"Something tells me we're going to
 regret this.",Ron
33,Harry,"No offense, Ron, but are you sure
 you know how to fly this.",Ron
33,Ron,No problem.,Harry
33,Ron,"There. See. Now I reckon all we
 have to do is find the Hogwarts
 Express and follow it. Simple.",Harry
33,Harry,"Uh, Ron. I should tell you.Most
 Muggles aren't accustomed to
 seeing a flying car.",Ron
33,Ron,Right.,Harry
34,Ron,"Uh oh. The Invisibility Booster
 must be faulty.",Harry
34,Ron,Any sign of the train?,Harry
34,Harry,"There!
 Up ahead! Look...",Ron
34,Ron,Brilliant.,Harry
34,Ron,"It must be around here
 someplace.",Harry
34,Harry,Do you hear that?,Ron
34,Harry,Aaaahhhhh!,Ron
34,Ron,Aaaahhhhh!,Harry
34,Ron,Take my hand!,Harry
34,Harry,Hold on!,Ron
34,Harry,"I'm trying! Your hand's all
 sweaty!",Ron
34,Harry,I think we found the train.,Ron
35,Ron,"Welcome home, Harry.",Harry
35,Harry,"Just out of interest, Ron. Have
 you ever landed a car before?",Ron
35,Ron,"Well... no. but, until a few
 hours ago, I'd never taken off in
 one either.",Harry
35,Ron,IT'S NOT WORKING!,Harry
35,Harry,"UP!
 
 UP!",Ron
35,Harry,MIND THAT TREE!,Ron
35,Harry,"TURN!
 
 TURN!",Ron
35,Ron,"STOP!
 
 STOP!
 
 STOP!",Harry
35,Ron,"My wand!
 
 Look at my wand!",Harry
35,Harry,Be thankful it's not your neck.,Ron
35,Ron,What's happening?,Harry
35,Harry,Aaaahhhhh!,HArry
35,Ron,Aaaahhhhh!,Ron
35,Ron,What kind of tree is this?,Harry
35,Harry,Aaaahhhhh!,Harry
35,Ron,Aaaahhhhh!,Ron
35,Harry,"Reverse!
 Reverse!",Ron
35,Ron,Dad's going to kill me.,Harry
36,Harry,"A house elf shows up in my
 bedroom, we can't get through the
 barrier to Platform Nine and Three
 Quarters, we almost get killed by
 a tree... clearly someone doesn't
 want me here this year.",Argus Filch
36,Argus Filch,"Well, take a good look, lads...",Harry
36,Argus Filch,"Well, take a good look, lads...",Ron
36,Argus Filch,"This night might well be the last
 you spend in this castle.",Harry
36,Argus Filch,"This night might well be the last
 you spend in this castle.",Ron
37,Snape,"You were seen! By no less then
 seven Muggles. Do you have any
 idea how serious this is? You
 have risked the exposure of our
 world. Not to mention the damage
 you inflicted on a Whomping Willow
 that has been on these grounds for
 hundreds of years.",Harry
37,Snape,"You were seen! By no less then
 seven Muggles. Do you have any
 idea how serious this is? You
 have risked the exposure of our
 world. Not to mention the damage
 you inflicted on a Whomping Willow
 that has been on these grounds for
 hundreds of years.",Ron
37,Ron,"Honestly, Professor Snape, I think
 it did more damage to us.",Snape
37,Snape,"Silence! I assure you, were you
 in Slytherin and your fate rested
 with me, the both of you would be
 on the train home tonight. As it
 is",Ron
37,Dumbledore,They are not.,Snape
37,Harry,"Professor Dumbledore.
 McGonagall...
 
 Professor",McGONAGALL
37,Harry,"Professor Dumbledore.
 McGonagall...
 
 Professor",Dumbledore
37,Snape,"Headmaster, these boys have
 flouted the Decree for the
 Restriction of Underage Wizardry.
 As such...",Dumbledore
37,Dumbledore,"I'm well aware of our bylaws,
 Severus, having written more than
 a few myself. However, as Head of
 Gryffindor House, it is for
 Professor McGonagall to determine
 the appropriate action.",Snape
37,Ron,We'll go and get our stuff.,Dumbledore
37,McGONAGALL,"What are you talking about, Mr.
 Weasley?",Ron
37,Ron,"Well, you're going to expel us,
 aren't you?",McGONAGALL
37,McGONAGALL,"Not today, Mr. Weasley. But I
 must impress upon both of you the
 seriousness of what you have done.
 I will be sending owls to both of
 your families tonight. And you
 will each get a detention.",Ron
37,Dumbledore,"Splendid. Now, I suggest we
 return to the feast. There's a
 delicious-looking custard tart I
 want to sample.",Ron
37,Dumbledore,"Splendid. Now, I suggest we
 return to the feast. There's a
 delicious-looking custard tart I
 want to sample.",McGONAGALL
37,Dumbledore,"Splendid. Now, I suggest we
 return to the feast. There's a
 delicious-looking custard tart I
 want to sample.",HArry
37,Dumbledore,"Splendid. Now, I suggest we
 return to the feast. There's a
 delicious-looking custard tart I
 want to sample.",Snape
37,Harry,"Mr. Filch.
 You dropped this...",Argus Filch
40,NEVILLE,Detention. On the first day?,Ron
40,NeVILLE,Detention. On the first day?,Harry
40,SEAMUS,That must be some kind of record.,Ron
40,SEAMUS,That must be some kind of record.,Harry
40,Hermione,"I should think you'd count
 yourself lucky that's all you got.",Ron
40,Ron,"I should think you'd mind your own
 business.",Hermione
40,PROFESSOR SPROUT,"Welcome to Greenhouse Three,
 Second Years. Today, we will be
 re-potting Mandrakes. Now, who
 here can tell me the properties of
 the Mandrake? Yes, Miss Granger.",Hermione
40,Hermione,"Mandrake, or Mandragora, is used
 to return those who have been
 transfigured to their original
 state. It's also quite dangerous.
 The Mandrake's cry is fatal to
 anyone who hears it.",PROFESSOR SPROUT
40,PROFESSOR SPROUT,"Excellent. Ten points to
 Gryffindor. As our Mandrakes are
 only seedlings, their cries won't
 kill yet. However, they will
 knock you out for several hours.
 That is why I have provided each
 of you with a pair of earmuffs.
 If you would then...",Everyone
40,PROFESSOR SPROUT,"Hm. Looks as though Mr.
 Longbottom neglected his muffs.",Everyone
40,SEAMUS,"No, ma'am.
 
 He's just fainted.",PROFESSOR SPROUT
40,PROFESSOR SPROUT,"Very well. We'll just leave him
 then. Come now. Four to a tray,
 plenty of pots to go round...",SEAMUS
41,PENELOPE CLEARWATER,There's Nearly Headless Nick.,Percy Weasley
41,Percy Weasley,"Hello, Sir Nicolas.",NICK
41,NICK,"Hello, Percy.
 Miss Clearwater.",Penelope
41,NiCK,"Hello, Percy.
 Miss Clearwater.",Percy Weasley
41,Ron,"Say it.
 
 I'm doomed.",Harry
41,Harry,You're doomed.,Ron
41,Colin Creavley,"Hiya, Harry. I'm Colin Creevey.
 I'm in Gryffindor too.",Harry
41,Harry,"Hello, Colin.
 
 Nice to meet",Colin Creavley
41,Colin Creavley,"They're for my dad -- the
 pictures. He's a milkman, you
 know, a Muggle, like all our
 family's been until me. No one
 
 knew all the odd stuff I could do
 was magic till we got my letter
 from Hogwarts. Everyone just
 thought I was mental.",Harry
41,Ron,Imagine that.,Colin Creavley
41,Colin Creavley,"Say, Harry. D'you think your
 friend could take a photo of me
 and you standing together? Ya'
 know, to prove I've met you?",Harry
41,DEAN THOMAS,Post is here!,Everyone
41,Ron,"Bloody bird's a menace -- Oh...
 no.",Ron
41,SEAMUS,"Heads up, everyone. Weasley's
 gotten himself a Howler.",Everyone
41,NEVILLE,"Go on, Ron. I ignored one from
 my Gran once... and it was
 horrible.",Ron
41,MRS. WEASLEY,"RONALD WEASLEY! HOW DARE YOU
 STEAL THAT CAR! I AM
 ABSOLUTELY DISGUSTED! YOUR
 FATHER'S NOW FACING AN INQUIRY
 AT WORK AND IT'S ENTIRELY YOUR
 FAULT! IF YOU PUT ANOTHER TOE OUT
 OF LINE WE'LL BRING YOU STRAIGHT
 HOME!Oh, and Ginny dear.
 Congratulations on making
 Gryffindor. Your father and I are
 so proud.",Ron
41,MRS. WEASLEY,"RONALD WEASLEY! HOW DARE YOU
 STEAL THAT CAR! I AM
 ABSOLUTELY DISGUSTED! YOUR
 FATHER'S NOW FACING AN INQUIRY
 AT WORK AND IT'S ENTIRELY YOUR
 FAULT! IF YOU PUT ANOTHER TOE OUT
 OF LINE WE'LL BRING YOU STRAIGHT
 HOME!Oh, and Ginny dear.
 Congratulations on making
 Gryffindor. Your father and I are
 so proud.",Ginny
41,Harry,"Look at it this way. How much
 worse can things get?",Ron
42,GILDEROY LOCKHART,"Let me introduce you to your new
 Defense Against the Dark Arts
 Teacher. Me. Gilderoy Lockhart,
 Order of Merlin, Third Class,
 Honorary Member of the Dark Force
 Defense League and five times
 winner of Witch Weekly's MostCharming-Smile Award -- But I
 don't talk about that. I didn't
 get rid of the Bandon Banshee by
 smiling at her!",Everyone
42,GILDEROY LOCKHART,"I see you've all bought a complete
 set of my books. Well done. I
 thought we'd start today with a
 little quiz. Nothing to worry
 about. Just to check how well
 you've read them, how much you've
 taken in...",Everyone
42,Ron,"Look at these questions.
 all about him.
 
 They're",Harry
42,Harry,"What is Gilderoy Lockhart's
 favorite color?'",Ron
42,Ron,"What is Gilderoy Lockhart's
 greatest achievement to date?'",Harry
42,Harry,"When is Gilderoy Lockhart's
 birthday and what would his ideal
 gift be?'",Ron
42,GILDEROY LOCKHART,You have thirty minutes. Start -now!,Everyone
42,GILDEROY LOCKHART,"Tut, tut. Hardly any of you
 remembered my favorite color is
 lilac. But Miss Hermione Granger
 knew that my secret ambition is to
 rid the world of evil and market
 my own range of hair care potions.
 Good girl.",Everyone
42,GILDEROY LOCKHART,"Now... be warned! It is my job to
 arm you against the foulest
 creatures known to wizardkind!
 You may find yourself facing your
 own worst fears in this room.
 Know only that no harm can befall
 you whilst I am here...",Everyone
42,GILDEROY LOCKHART,"I must ask you not to scream. It
 might provoke them.",Everyone
42,SEAMUS,Cornish pixies?,GILDEROY LOCKHART
42,GILDEROY LOCKHART,Freshly caught Cornish pixies.,Everyone
42,GILDEROY LOCKHART,"Laugh if you will, Mr. Finnegan,
 but pixies can be devilishly
 tricky little blighters. Let's
 see what you make of them now!",SEAMUS
42,GILDEROY LOCKHART,"Come on now, round them up, round
 them up. They're only pixies.
 Peskipiski Pesternomi!",Everyone
42,GILDEROY LOCKHART,Peskipiski Pestemomi,Spell
42,GILDEROY LOCKHART,"I'll ask you three to just nip the
 rest of them back into their cage.",Everyone
42,Ron,What do we do now?,GILDEROY LOCKHART
42,Hermione,Immobilus!,Spell
42,NEVILLE,Why is it always me?,Neville
42,Ron,Can you believe him?,Hermione
42,Hermione,"I'm sure Professor Lockhart just
 wanted to give us some hands-on
 experience.",Ron
42,Harry,"Hands on? Hermione, he didn't
 have a clue what he was doing",Hermione
42,Hermione,"Rubbish. Read his books. You'll
 see all the amazing things he's
 done.",Harry
42,Ron,He says he's done.,Hermione
45,Ron,"Uh-oh.
 
 I smell trouble.",Ron
45,WOOD,"Clear out, Flint! I booked the
 pitch for Gryffindor today.",FLINT
45,FLINT,"Easy, Wood.
 I've got a note.",WOOD
45,WOOD,"I, Professor Severus Snape, do
 hereby give the Slytherin team
 permission to practice today,
 owing to the need to train their
 new Seeker.'
 You've got a new Seeker? Who? Its Malfoy",FLINT
45,Harry,"Draco?
 DRACO
 That's right. And that's not all
 that's new this year...",Ron
45,Flint,"A generous gift from Draco's
 father.",Draco Malfoy
45,Draco Malfoy,"That's right, Weasley. You see,
 unlike some, my father can afford
 to buy the best.",FLINT
45,Hermione,"At least no one on the Gryffindor
 team had to buy their way in.
 They got in on pure talent.",Draco Malfoy
45,Draco Malfoy,"No one asked your opinion, you
 filthy little Mudblood.",Hermione
45,WOOD,Save it for the match.,Draco Malfoy
45,Ron,"You'll pay for that one, Malfoy!",Draco Malfoy
45,Hermione,"Ron!
 Say something!",Ron
45,Colin Creavley,"Wow! Can you hold him still,
 Harry?!",Harry
45,Harry,"Get out of the way, Colin!",Colin Creavley
45,Harry,"Let's take him to Hagrid. He'll
 know what to do.",Hermione
46,HAGRID,"Got jus' the thing. Set 'im down
 on that chair o'er there.",Harry
46,Hagrid,"Better out than in. Who was he
 tryin' ter curse anyway?",Harry
46,Harry,"Malfoy. He called Hermione, well,
 
 I don't know exactly what it
 means...",Hagrid
46,Hermione,He called me a Mudblood.,Hagrid
46,Hagrid,He didn'!,Hermione
46,Hermione,"It means dirty blood. Mudblood's
 a really foul name for someone who
 was Muggle-born. Someone with
 non-magic parents. Someone...
 like me. It's not a term one
 usually hears in civilized
 conversation.",Harry
46,Hagrid,"Yeh see, Harry. There are some
 wizards -- like Malfoy's family -who think they're better than
 everyone else 'cause they're what
 people call pureblood.",Harry
